Province/State,Country/Region,Lat,Long,Date,Case,Count
Fujian,Mainland China,26.07783,117.9895,2020-02-07,recovered,20
Fujian,Mainland China,26.07783,117.9895,2020-02-07,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-08,confirmed,239
Fujian,Mainland China,26.07783,117.9895,2020-02-08,recovered,24
Fujian,Mainland China,26.07783,117.9895,2020-02-08,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-09,confirmed,250
Fujian,Mainland China,26.07783,117.9895,2020-02-09,recovered,35
Fujian,Mainland China,26.07783,117.9895,2020-02-09,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-10,confirmed,261
Fujian,Mainland China,26.07783,117.9895,2020-02-10,recovered,39
Fujian,Mainland China,26.07783,117.9895,2020-02-10,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-11,confirmed,267
Fujian,Mainland China,26.07783,117.9895,2020-02-11,recovered,45
Fujian,Mainland China,26.07783,117.9895,2020-02-11,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-12,confirmed,272
Fujian,Mainland China,26.07783,117.9895,2020-02-12,recovered,53
Fujian,Mainland China,26.07783,117.9895,2020-02-12,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-13,confirmed,279
Fujian,Mainland China,26.07783,117.9895,2020-02-13,recovered,57
Fujian,Mainland China,26.07783,117.9895,2020-02-13,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-14,confirmed,281
Fujian,Mainland China,26.07783,117.9895,2020-02-14,recovered,63
Fujian,Mainland China,26.07783,117.9895,2020-02-14,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-15,confirmed,285
Fujian,Mainland China,26.07783,117.9895,2020-02-15,recovered,71
Fujian,Mainland China,26.07783,117.9895,2020-02-15,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-16,confirmed,287
Fujian,Mainland China,26.07783,117.9895,2020-02-16,recovered,82
Fujian,Mainland China,26.07783,117.9895,2020-02-16,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-17,confirmed,290
Fujian,Mainland China,26.07783,117.9895,2020-02-17,recovered,90
Fujian,Mainland China,26.07783,117.9895,2020-02-17,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-18,confirmed,292
Fujian,Mainland China,26.07783,117.9895,2020-02-18,recovered,93
Fujian,Mainland China,26.07783,117.9895,2020-02-18,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-19,confirmed,293
Fujian,Mainland China,26.07783,117.9895,2020-02-19,recovered,112
Fujian,Mainland China,26.07783,117.9895,2020-02-19,death,0
